"","dsdingid","dsdingr","dsdbcid","dsdbcnam","dsdbccat"
"1","10001894","MAXIMOL PROPRIETARY BLEND","10000006","ALANINE",5
"2","10002698","ALIVE! AMINO ACID BLEND","10000006","ALANINE",5
"3","10003238","DAILY COMPLETE + GREEN PEA AMINO ACID COMPLEX","10000006","ALANINE",5
"4","10003269","ULTRA BODY TODDY AMINO ACID PROPRIETARY BLEND","10000006","ALANINE",5
"5","10003615","ALL IN ONE AMINO ACID BLEND","10000006","ALANINE",5
"6","10003922","GLACIAL MILK COMPLETE NUTRITION AMINO ACID MIX","10000006","ALANINE",5
"7","10004684","BODYWORX NUTRI-GENICS COMPLETE AMINO ACIDS FROM WHEY PROTEIN","10000006","ALANINE",5
"8","10004906","AMERICAN LONGEVITY MAJESTIC EARTH AMINO ACID MIX","10000006","ALANINE",5
"9","10004946","ENIVA VIBE COLLAMAX PROPRIETARY BLEND","10000006","ALANINE",5
"10","10004973","VEROMAX FOR MEN PROPRIETARY AMINO POWDER BLEND","10000006","ALANINE",5
"11","10005076","VITAWAVE AMINO ACID BLEND","10000006","ALANINE",5
"12","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000006","ALANINE",5
"13","10006084","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY AMINO ACID MATRIX","10000006","ALANINE",5
"14","10006313","LIQUID HEALTH COMPLETE MULTIPLE VEGETARIAN AMINO BLEND","10000006","ALANINE",5
"15","10006339","LIQUIMAX AMINO ACID COMPLEX #2","10000006","ALANINE",5
"16","10006912","HEALTHY HABITS MAXIMUM WELLNESS PROPRIETARY AMINO ACID COMPLEX","10000006","ALANINE",5
"17","10007443","MICHAEL'S NATUROPATHIC PROGRAMS TESTOSTERONE FACTORS PROPRIETARY BLEND","10000006","ALANINE",5
"18","10001199","SOLGAR SPECIAL NATURAL POWDERED BLEND","10000008","ALFALFA",3
"19","10001201","SOLGAR WHOLE FOOD/HERBAL BLEND","10000008","ALFALFA",3
"20","10001426","KM PROPRIETARY HERBAL EXTRACT BLEND","10000008","ALFALFA",3
"21","10001890","NATURE'S SUNSHINE ZINC PROPRIETARY BLEND","10000008","ALFALFA",3
"22","10002025","COMBINATION POTASSIUM PROPRIETARY BLEND","10000008","ALFALFA",3
"23","10002248","VITAMIN WORLD B COMPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"24","10002258","GUEYE HERBAL COMPLEX","10000008","ALFALFA",3
"25","10002371","SP CHLOROPHYLL COMPLEX  PROPRIETARY BLEND","10000008","ALFALFA",3
"26","10002387","DAILY COMPLETE + FRUIT AND VEGETABLE PHYTONUTRIENT COMPLEX  WHOLE JUICE","10000008","ALFALFA",3
"27","10002672","ALIVE! GREEN FOOD/ SPIRULINA BLEND","10000008","ALFALFA",3
"28","10002752","ESSENTIALS MINI'S FOOD BASE BLEND","10000008","ALFALFA",3
"29","10002763","SOLGAR FORMULA VM-75 NATURAL POWDERED BLEND","10000008","ALFALFA",3
