"","dsdsupid","dsdsupp","dsdsrce","dsdtype","dsdservq","dsdservu","dsdcntv","dsdcntm","dsdcnta","dsdcntb","dsdcnto"
"1","1000011700","IBERET-FOLIC-500 CONTROLLED-RELEASE IRON WITH VITAMIN C AND B-COMPLEX INCLUDING FOLIC ACID FILMTAB TABLETS",9,4,1,18,8,1,0,0,0
"2","1000011701","FERO-FOLIC-500 FILMTAB TABLETS",5,4,1,18,2,1,0,0,0
"3","1000011800","EMERGEN-C",8,4,1,12,7,5,0,0,3
"4","1000011801","EMERGEN-C",8,4,1,12,7,5,0,0,4
"5","1000011802","EMERGEN-C 1000 MG VITAMIN C AS SEVEN MINERAL ASCORBATES FIZZING DRINK MIX LEMON-LIME 32 MINERAL COMPLEXES AND B VITAMINS",8,4,1,12,8,5,0,0,6
"6","1000011803","EMERGEN-C 1,000 MG VITAMIN C AS 7 MINERAL ASCORBATES 32 MINERAL COMPLEXES B VITAMINS FIZZY DRINK MIX LEMON-LIME",8,4,1,12,8,5,0,0,7
"7","1000011804","EMERGEN-C 1,000 MG VITAMIN C 24 NUTRIENTS WITH ANTIOXIDANTS, ELECTROLYTES AND 7 B VITAMINS LEMON-LIME FIZZY DRINK MIX PA",8,4,1,12,8,6,0,0,7
"8","1000012200","NUTRILITE DOUBLE X MULTIVITAMIN MULTIMINERAL",9,4,1,12,12,11,0,0,3
"9","1000012201","NUTRILITE DOUBLE X MULTIVITAMIN MULTIMINERAL",9,4,3,18,13,13,0,9,13
"10","1000012202","NUTRILITE DOUBLE X MULTIVITAMIN MULTIMINERAL PHYTONUTRIENT",9,4,3,18,13,9,0,20,8
"11","1000012300","NUTRILITE DAILY MULTIVITAMIN AND MULTIMINERAL",9,4,1,18,11,7,0,0,0
"12","1000012301","NUTRILITE DAILY MULTIVITAMIN AND MULTIMINERAL FOR ADULTS AND CHILDREN 4 OR MORE YEARS OF AGE",9,4,1,18,13,11,0,6,1
"13","1000012302","NUTRILITE DAILY MULTIVITAMIN AND MULTIMINERAL FOR ADULTS AND CHILDREN 4 OR MORE YEARS OF AGE",8,4,1,18,13,11,0,6,1
"14","1000012303","NUTRILITE DAILY MULTIVITAMIN AND MULTIMINERAL FOR ADULTS AND CHILDREN 4 OR MORE YEARS OF AGE",8,4,1,18,13,11,0,6,1
"15","1000012500","OCUVITE EXTRA NUTRITIONAL SUPPORT WITH ANTIOXIDANTS, ZINC AND B VITAMINS",9,4,1,18,5,4,0,0,2
"16","1000012501","BAUSCH & LOMB OCUVITE EXTRA NOW WITH LUTEIN NUTRITION FOR EYES ESSENTIAL PLUS FORMULATION LUTEIN ZINC AND B VITAMINS",9,4,1,18,5,4,0,0,3
"17","1000012600","OCUVITE NUTRITIONAL SUPPORT WITH KEY ANTIOXIDANTS AND ZINC",9,4,1,18,3,3,0,0,1
"18","1000012601","BAUSCH & LOMB OCUVITE NOW WITH LUTEIN NUTRITION FOR EYES ESSENTIAL FORMULATION LUTEIN KEY ANTIOXIDANTS AND ZINC",9,4,1,18,3,3,0,0,2
"19","1000012602","BAUSCH & LOMB OCUVITE WITH LUTEIN! NUTRITION FOR EYES ESSENTIAL FORMULATION: LUTEIN, KEY ANTIOXIDANTS, AND ZINC ANTIOXID",9,4,1,18,3,3,0,0,2
"20","1000012700","ONE A DAY CALCIUM PLUS CALCIUM WITH VITAMIN D AND MAGNESIUM  FRUIT FLAVORED CHEWABLE TABLETS",9,4,1,18,1,2,0,0,0
"21","1000012900","ONE A DAY GARLIC",9,4,1,16,0,0,0,1,0
