"","fmtname","start","label"
"1","DRDIFDCD",11000000,"MILK, HUMAN"
"2","DRDIFDCD",11100000,"MILK, NFS"
"3","DRDIFDCD",11111000,"MILK, COW'S, FLUID, WHOLE"
"4","DRDIFDCD",11111100,"MILK, COW'S, FLUID, WHOLE, LOW SODIUM"
"5","DRDIFDCD",11112000,"MILK, COW'S, FLUID, NOT WHOLE, NS AS TO % FAT"
"6","DRDIFDCD",11112110,"MILK, COW'S, FLUID, 2% FAT"
"7","DRDIFDCD",11112130,"MILK, COW'S, FLUID, ACIDOPHILUS, 2% FAT"
"8","DRDIFDCD",11112210,"MILK, COW'S, FLUID, 1% FAT"
"9","DRDIFDCD",11113000,"MILK, COW'S, FLUID, SKIM OR NONFAT"
"10","DRDIFDCD",11114300,"MILK, LOW LACTOSE, 1% FAT"
"11","DRDIFDCD",11114320,"MILK, LOW LACTOSE, NONFAT"
"12","DRDIFDCD",11114330,"MILK, COW'S FL LACTOSE REDUCED 2% FAT (LACTAID)"
"13","DRDIFDCD",11115000,"BUTTERMILK, FLUID (INCLUDE KEFIR MILK)"
"14","DRDIFDCD",11115200,"BUTTERMILK, FLUID, 2% FAT"
"15","DRDIFDCD",11116000,"MILK, GOAT'S, FLUID, WHOLE"
"16","DRDIFDCD",11120000,"MILK, DRY, RECONSTITUTED, NFS"
"17","DRDIFDCD",11121100,"MILK, DRY, RECONSTITUTED, WHOLE"
"18","DRDIFDCD",11121210,"MILK, DRY, RECONSTITUTED, LOWFAT"
"19","DRDIFDCD",11121300,"MILK, DRY, RECONSTITUTED, NONFAT"
"20","DRDIFDCD",11210000,"MILK, EVAPORATED, NS AS TO FAT CONTENT & DILUTION"
"21","DRDIFDCD",11210050,"MILK, EVAPORATED, NS FAT & DILUTION, IN COFFEE/TEA"
"22","DRDIFDCD",11210100,"MILK, EVAPORATED, NS AS TO FAT, UNDILUTED"
"23","DRDIFDCD",11211000,"MILK, EVAPORATED, WHOLE, NS AS TO DILUTION"
"24","DRDIFDCD",11211050,"MILK, EVAPORATED, WHOLE, IN COFFEE/TEA"
"25","DRDIFDCD",11211100,"MILK, EVAPORATED, WHOLE, UNDILUTED"
"26","DRDIFDCD",11211200,"MILK, EVAPORATED, WHOLE, DILUTED"
"27","DRDIFDCD",11212050,"MILK, EVAPORATED, SKIM, IN COFFEE/TEA"
"28","DRDIFDCD",11220000,"MILK, CONDENSED, SWEETENED, NS AS TO DILUTION"
"29","DRDIFDCD",11220200,"MILK, CONDENSED, SWEETENED, DILUTED"
"30","DRDIFDCD",11320000,"MILK, SOY, READY-TO-DRINK, NOT BABY"
"31","DRDIFDCD",11330000,"MILK, SOY, DRY, RECONSTITUTED, NOT BABY"
"32","DRDIFDCD",11340000,"MILK,IMITATION,FLUID,NONSOY,SWEETENED,NOT CHOCOLATE"
"33","DRDIFDCD",11410000,"YOGURT, NS AS TO TYPE OF MILK/FLAVOR"
"34","DRDIFDCD",11411010,"YOGURT, PLAIN, NS AS TO TYPE OF MILK"
"35","DRDIFDCD",11411100,"YOGURT, PLAIN, WHOLE MILK"
"36","DRDIFDCD",11411200,"YOGURT, PLAIN, LOWFAT MILK"
"37","DRDIFDCD",11411300,"YOGURT, PLAIN, NONFAT MILK"
"38","DRDIFDCD",11420000,"YOGURT, VANILLA, LEMON, COFFEE, NS AS TO MILK TYPE"
"39","DRDIFDCD",11421000,"YOGURT, VANILLA, LEMON, COFFEE, WHOLE MILK"
"40","DRDIFDCD",11422000,"YOGURT, VANILLA, LEMON, COFFEE, LOWFAT MILK"
"41","DRDIFDCD",11423000,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK"
"42","DRDIFDCD",11424000,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK, LOW CAL SWEET"
"43","DRDIFDCD",11427000,"YOGURT, CHOCOLATE, NONFAT MILK"
"44","DRDIFDCD",11430000,"YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE"
"45","DRDIFDCD",11431000,"YOGURT, FRUIT VARIETY, WHOLE MILK"
"46","DRDIFDCD",11432000,"YOGURT, FRUIT VARIETY, LOWFAT MILK"
"47","DRDIFDCD",11433000,"YOGURT, FRUIT VARIETY, NONFAT MILK"
"48","DRDIFDCD",11433500,"YOGURT, FRUITED, NONFAT MILK, LOW CAL SWEETENER"
"49","DRDIFDCD",11459990,"YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK"
"50","DRDIFDCD",11460000,"YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS"
"51","DRDIFDCD",11460100,"YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS"
"52","DRDIFDCD",11460150,"YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK"
"53","DRDIFDCD",11460160,"YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK"
"54","DRDIFDCD",11460170,"YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK"
"55","DRDIFDCD",11460300,"YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK"
"56","DRDIFDCD",11460400,"YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET"
"57","DRDIFDCD",11460410,"YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET"
"58","DRDIFDCD",11460440,"YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK"
"59","DRDIFDCD",11461250,"YOGURT, FROZEN, CONE, CHOCOLATE"
"60","DRDIFDCD",11461260,"YOGURT, FROZEN, CONE, NOT CHOCOLATE"
"61","DRDIFDCD",11461270,"YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK"
"62","DRDIFDCD",11461280,"YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK"
"63","DRDIFDCD",11511000,"MILK, CHOCOLATE, NFS"
"64","DRDIFDCD",11511100,"MILK, CHOCOLATE, WHOLE MILK BASED"
"65","DRDIFDCD",11511200,"MILK, CHOCOLATE, REDUCED FAT MILK BASED"
"66","DRDIFDCD",11511300,"MILK, CHOCOLATE, SKIM MILK BASED"
"67","DRDIFDCD",11512000,"COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK"
"68","DRDIFDCD",11513000,"COCOA & SUGAR MIXTURE, MILK ADDED, NS TYPE MILK"
"69","DRDIFDCD",11513100,"COCOA & SUGAR MIXTURE, WHOLE MILK ADDED"
"70","DRDIFDCD",11513150,"COCOA & SUGAR MIX, RED FAT MILK ADDED"
"71","DRDIFDCD",11513200,"COCOA & SUGAR MIXTURE, LOWFAT MILK ADDED"
"72","DRDIFDCD",11513300,"COCOA & SUGAR MIXTURE, SKIM MILK ADDED"
"73","DRDIFDCD",11513400,"CHOCOLATE SYRUP MILK ADDED, NS AS TO TYPE OF MILK"
"74","DRDIFDCD",11513500,"CHOCOLATE SYRUP, WHOLE MILK ADDED"
"75","DRDIFDCD",11513550,"CHOCOLATE SYRUP, RED FAT MILK ADDED"
"76","DRDIFDCD",11513600,"CHOCOLATE SYRUP, LOWFAT MILK ADDED"
"77","DRDIFDCD",11513700,"CHOCOLATE SYRUP, SKIM MILK ADDED"
"78","DRDIFDCD",11514100,"COCOA, SUGAR, & DRY MILK MIXTURE, WATER ADDED"
"79","DRDIFDCD",11514300,"COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED"
"80","DRDIFDCD",11514500,"COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED"
"81","DRDIFDCD",11516000,"COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED"
"82","DRDIFDCD",11519000,"MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK"
"83","DRDIFDCD",11519050,"MILK, NOT CHOCOLATE, WHOLE MILK BASED"
"84","DRDIFDCD",11520000,"MILK, MALTED, UNFORTIFIED, FLAVOR NS"
"85","DRDIFDCD",11521000,"MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR"
"86","DRDIFDCD",11526000,"MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)"
"87","DRDIFDCD",11527000,"MILK, MALTED, FORTIFIED, (INCL OVALTINE)"
"88","DRDIFDCD",11531000,"EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)"
"89","DRDIFDCD",11531500,"EGGNOG, MADE W/ 2% REDUCED FAT MILK"
"90","DRDIFDCD",11541100,"MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR"
"91","DRDIFDCD",11541110,"MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE"
"92","DRDIFDCD",11541120,"MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE"
"93","DRDIFDCD",11541400,"MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)"
"94","DRDIFDCD",11541500,"MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE"
"95","DRDIFDCD",11541510,"MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE"
"96","DRDIFDCD",11542100,"CARRY-OUT MILK SHAKE, CHOCOLATE"
"97","DRDIFDCD",11542200,"CARRY-OUT MILK SHAKE, NOT CHOCOLATE"
"98","DRDIFDCD",11551050,"MILK FRUIT DRINK (INCL LICUADO)"
"99","DRDIFDCD",11552200,"MILK-BASED FRUIT DRINK (INCL ORANGE JULIUS)"
"100","DRDIFDCD",11553000,"FRUIT SMOOTHIE DRINK, W/ FRUIT AND DAIRY PRODUCTS"
"101","DRDIFDCD",11553100,"FRUIT SMOOTHIE DRINK, NFS"
"102","DRDIFDCD",11560000,"CHOC-FLAVORED DRINK, WHEY-&MILK-BASED(INCL YOO-HOO)"
"103","DRDIFDCD",11560020,"MILK DRINK, WHEY&MILK-BASE, NOT CHOC (INCL YOO-HOO)"
"104","DRDIFDCD",11561010,"CAFE CON LECHE PREPARED W/ SUGAR"
"105","DRDIFDCD",11612000,"INSTANT BREAKFAST, POWDER, MILK ADDED"
"106","DRDIFDCD",11613000,"INSTANT BFAST,PWDR,SWT W/ LO CAL SWT, MILK ADDED"
"107","DRDIFDCD",11623000,"MEAL SUPPLEMENT / REPLACEMENT,PREPARED,RTD"
"108","DRDIFDCD",11631000,"HIGH CALORIE BEV, CANNED OR POWDERED, RECONSTITUTED"
"109","DRDIFDCD",11641000,"MEAL REPLACEMENT, MILK BASED, HIGH PROTEIN, LIQUID"
"110","DRDIFDCD",11710000,"INFANT FORMULA, NFS"
"111","DRDIFDCD",11710051,"ALIMENTUM, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"112","DRDIFDCD",11710100,"ENFAMIL, LOW IRON, INFANT FORMULA, NS AS TO FORM"
"113","DRDIFDCD",11710101,"ENFAMIL, LOW IRON, INFANT FORMULA, READY-TO-FEED"
"114","DRDIFDCD",11710102,"ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"115","DRDIFDCD",11710103,"ENFAMIL, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER"
"116","DRDIFDCD",11710111,"GERBER, WITH IRON, INFANT FORMULA, READY-TO-FEED"
"117","DRDIFDCD",11710112,"GERBER, WITH IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"118","DRDIFDCD",11710200,"SIMILAC, LOW IRON, INFANT FORMULA, NS AS TO FORM"
"119","DRDIFDCD",11710203,"SIMILAC, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER"
"120","DRDIFDCD",11710400,"SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM"
"121","DRDIFDCD",11710401,"SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED"
"122","DRDIFDCD",11710402,"SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"123","DRDIFDCD",11710403,"SIMILAC W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"124","DRDIFDCD",11710451,"SIMILAC SPECIAL CARE 24, IRON, INFANT FORMULA, READY-TO-FEED"
"125","DRDIFDCD",11710600,"ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM"
"126","DRDIFDCD",11710601,"ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED"
"127","DRDIFDCD",11710602,"ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"128","DRDIFDCD",11710603,"ENFAMIL W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"129","DRDIFDCD",11710710,"LACTOFREE, W/ IRON, INFANT FORMULA, NS FORM"
"130","DRDIFDCD",11710713,"LACTOFREE, W/ IRON, INFANT FORMULA, FROM POWDER"
"131","DRDIFDCD",11710801,"PEDIASURE, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"132","DRDIFDCD",11710901,"CARNATION GOOD START, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"133","DRDIFDCD",11710902,"CARNATION GOOD START,W/IRON,INFANT FORMULA,LIQUID CONCENTRAT"
"134","DRDIFDCD",11710903,"CARNATION GOOD START, W/ IRON, INFANT FORMULA, FROM POWDER"
"135","DRDIFDCD",11710951,"CARNATION FOLLOW-UP,W/ IRON,INFANT FORMULA,READY-TO-FEED"
"136","DRDIFDCD",11710953,"CARNATION FOLLOW-UP, W/ IRON, INFANT FORMULA, FR POWDER"
"137","DRDIFDCD",11720300,"PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM"
"138","DRDIFDCD",11720301,"PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"139","DRDIFDCD",11720302,"PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"140","DRDIFDCD",11720303,"PROSOBEE, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"141","DRDIFDCD",11720400,"ISOMIL, W/ IRON, INFANT FORMULA, NS AS TO FORM"
"142","DRDIFDCD",11720401,"ISOMIL, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"143","DRDIFDCD",11720402,"ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
"144","DRDIFDCD",11720403,"ISOMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"145","DRDIFDCD",11720503,"SOYALAC, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"146","DRDIFDCD",11720601,"CARNATION ALSOY, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"147","DRDIFDCD",11720603,"CARNATION ALSOY, W/ IRON, INFANT FORMULA, FROM POWDER"
"148","DRDIFDCD",11740301,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, READY-TO-FEED"
"149","DRDIFDCD",11740302,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE"
"150","DRDIFDCD",11740403,"PREGESTIMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
"151","DRDIFDCD",11810000,"MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT"
"152","DRDIFDCD",11811000,"MILK, DRY, WHOLE, NOT RECONSTITUTED"
"153","DRDIFDCD",11813000,"MILK, DRY, NONFAT, NOT RECONSTITUTED"
"154","DRDIFDCD",11830100,"COCOA W/DRY MILK & SUGAR, DRY MIX, NOT RECONST"
"155","DRDIFDCD",11830110,"COCOA POWDER W/ NFD MILK, LOW CAL SWEETENER, DRY"
"156","DRDIFDCD",11830150,"COCOA POWDER, NOT RECONSTITUTED (NO DRY MILK)"
"157","DRDIFDCD",11830160,"COCOA-FLAVORED BEVERAGE POWDER W/ SUGAR, DRY MIX"
"158","DRDIFDCD",11830170,"COCOA, WHEY, LO CAL SWEETNER MIX, NOT RECONST"
"159","DRDIFDCD",11830200,"MILK, MALTED, DRY, UNFORTIFD, NOT RECONST, NOT CHOC"
"160","DRDIFDCD",11830210,"MILK, MALTED, DRY, FORTIFD, NOT RECONST, NOT CHOC"
"161","DRDIFDCD",11830260,"MILK, MALTED, DRY, FORTIFIED, NOT RECONST, CHOC"
"162","DRDIFDCD",11830400,"MILK BEV POWDER, DRY, NOT RECONST, NOT CHOC"
"163","DRDIFDCD",11830450,"MILK BEV MIX, W/ SUGAR,EGG WHITE, NOT RECONSTITUTED"
"164","DRDIFDCD",11830800,"INSTANT BREAKFAST POWDER, NOT RECONSTITUTED"
"165","DRDIFDCD",11830900,"PROTEIN SUPPLEMENT, MILK BASED, DRY POWDER"
"166","DRDIFDCD",11830940,"MEAL REPLACEMENT,PROTEIN,MILK BASED,FRUIT JUICE MIX"
"167","DRDIFDCD",11830970,"MEAL REPLACEMENT, PROTEIN TYPE, MILK-BASE, POWDER"
"168","DRDIFDCD",11831500,"NUTRIENT SUPPLEMENT,MILK-BASE,HIGH PROT,NOT RECONST"
"169","DRDIFDCD",11832000,"MEAL REPLACEMENT,MILK-&SOY-BASE,POWDER,NOT RECONST"
"170","DRDIFDCD",11835100,"MEAL REPLACEMENT, POSITRIM DRINK MIX, DRY POWDER"
"171","DRDIFDCD",12100100,"CREAM, FLUID, NS AS TO LIGHT, HEAVY OR HALF & HALF"
"172","DRDIFDCD",12110100,"CREAM, LIGHT, FLUID (INCL COFFEE CRM, TABLE CREAM)"
"173","DRDIFDCD",12110300,"CREAM, LIGHT, WHIPPED, UNSWEETENED"
"174","DRDIFDCD",12120100,"CREAM, HALF & HALF"
"175","DRDIFDCD",12130100,"CREAM, HEAVY, FLUID"
"176","DRDIFDCD",12140000,"CREAM, HEAVY, WHIPPED, SWEETENED"
"177","DRDIFDCD",12140100,"CREAM, WHIPPED, PRESSURIZED CONTAINER"
"178","DRDIFDCD",12200100,"CREAM SUBSTITUTE, NS AS TO FROZEN,LIQUID OR POWDER"
"179","DRDIFDCD",12210100,"CREAM SUBSTITUTE, FROZEN"
"180","DRDIFDCD",12210200,"CREAM SUBSTITUTE, LIQUID (INCLUDE COFFEE WHITNER)"
"181","DRDIFDCD",12210250,"CREAM SUBSTITUTE, LIGHT, LIQUID"
"182","DRDIFDCD",12210400,"CREAM SUBSTITUTE, POWDERED"
"183","DRDIFDCD",12210410,"CREAM SUBST, LIGHT, POWDERED (INCL COFFEE MATE, CRE"
"184","DRDIFDCD",12220000,"WHIPPED TOPPING, NONDAIRY, NS AS TO CND/FRZ/POWDER"
"185","DRDIFDCD",12220100,"WHIPPED TOPPING, NONDAIRY, PRESSURIZED CAN"
"186","DRDIFDCD",12220200,"WHIPPED TOPPING, NONDAIRY, FROZEN (INCL COOL WHIP)"
"187","DRDIFDCD",12220250,"WHIPPED TOPPING, NONDAIRY, FZN, LOWFAT (INCL COOL)"
"188","DRDIFDCD",12220300,"WHIPPED CREAM SUBST, NONDAIRY, FROM POWDERED MIX"
"189","DRDIFDCD",12310100,"SOUR CREAM (INCL W/ CHIVES)"
"190","DRDIFDCD",12310300,"SOUR CREAM, REDUCED FAT"
"191","DRDIFDCD",12310350,"SOUR CREAM, LIGHT"
"192","DRDIFDCD",12310370,"SOUR CREAM, FAT FREE"
"193","DRDIFDCD",12320100,"SOUR CREAM, IMITATION"
"194","DRDIFDCD",12350000,"DIP, SOUR CREAM BASE (INCLUDE BUTTERMILK-TYPE DIP)"
"195","DRDIFDCD",12350020,"DIP, SOUR CREAM BASE, REDUCED CALORIE"
"196","DRDIFDCD",12350100,"SPINACH DIP, SOUR CREAM BASE"
"197","DRDIFDCD",13110000,"ICE CREAM, NFS"
"198","DRDIFDCD",13110100,"ICE CREAM, REGULAR, NOT CHOCOLATE"
"199","DRDIFDCD",13110110,"ICE CREAM, REGULAR, CHOCOLATE"
"200","DRDIFDCD",13110120,"ICE CREAM, RICH, FLAVORS OTHER THAN CHOCOLATE"
"201","DRDIFDCD",13110130,"ICE CREAM, RICH, CHOCOLATE"
"202","DRDIFDCD",13110140,"ICE CREAM, RICH, NS AS TO FLAVOR"
"203","DRDIFDCD",13110200,"ICE CREAM, SOFT SERVE, NOT CHOCOLATE"
"204","DRDIFDCD",13110210,"ICE CREAM, SOFT SERVE, CHOCOLATE"
"205","DRDIFDCD",13110220,"ICE CREAM, SOFT SERVE, NS AS TO FLAVOR"
"206","DRDIFDCD",13120050,"ICE CREAM BAR OR STICK, NOT CHOC- OR CAKE-COVERED"
"207","DRDIFDCD",13120100,"ICE CREAM BAR/STICK, CHOCOLATE COVERED"
"208","DRDIFDCD",13120110,"ICE CREAM BAR, CHOCOLATE/CARAMEL COVERED, W/ NUTS"
"209","DRDIFDCD",13120120,"ICE CREAM BAR,RICH CHOC ICE CREAM,THICK CHOC COVER"
"210","DRDIFDCD",13120121,"ICE CREAM BAR,RICH ICE CREAM,THICK CHOC COVER"
"211","DRDIFDCD",13120130,"ICE CREAM BAR/STICK,RICH ICE CREAM,CHOC COVER,W/NUT"
"212","DRDIFDCD",13120140,"ICE CREAM BAR/STICK, CHOC ICE CREAM, CHOC COVER"
"213","DRDIFDCD",13120300,"ICE CREAM BAR, CAKE-COVERED"
"214","DRDIFDCD",13120500,"ICE CREAM SANDWICH"
"215","DRDIFDCD",13120550,"ICE CREAM COOKIE SANDWICH (INCLUDE CHIPWICH)"
"216","DRDIFDCD",13120700,"ICE CREAM CONE, W/ NUTS, NOT CHOCOLATE"
"217","DRDIFDCD",13120710,"ICE CREAM CONE, CHOC-COVERED, W/ NUTS, NOT CHOC"
"218","DRDIFDCD",13120720,"ICE CREAM CONE, CHOC-COVERED OR DIPPED, NOT CHOC"
"219","DRDIFDCD",13120730,"ICE CREAM CONE, NO TOPPING, NOT CHOCOLATE"
"220","DRDIFDCD",13120750,"ICE CREAM CONE, W/NUTS, CHOCOLATE ICE CREAM"
"221","DRDIFDCD",13120770,"ICE CREAM CONE, NO TOPPING, CHOCOLATE ICE CREAM"
"222","DRDIFDCD",13120790,"ICE CREAM SUNDAE CONE (INCL DRUMSTICK, ALL FLAVORS)"
"223","DRDIFDCD",13120800,"ICE CREAM SODA, NOT CHOCOLATE"
"224","DRDIFDCD",13121300,"ICE CREAM SUNDAE,CHOCOLATE TOPPING,W/ WHIPPED CREAM"
"225","DRDIFDCD",13122100,"ICE CREAM PIE, NO CRUST"
"226","DRDIFDCD",13125100,"ICE CREAM W/ SHERBET"
"227","DRDIFDCD",13130300,"LIGHT ICE CREAM,NOT CHOCOLATE (FORMERLY ICE MILK)"
"228","DRDIFDCD",13130310,"LIGHT ICE CREAM,CHOCOLATE (FORMERLY ICE MILK)"
"229","DRDIFDCD",13130350,"LIGHT ICE CREAM,PREMIUM, NOT CHOC (FORMERLY ICE MILK)"
"230","DRDIFDCD",13130600,"LIGHT ICE CREAM,SOFT SERVE, NOT CHOC (FORMERLY ICE MILK)"
"231","DRDIFDCD",13130610,"LIGHT ICE CREAM,SOFT SERVE CHOC (TASTEE FRZ, DAIRY QUEEN)"
"232","DRDIFDCD",13130620,"LIGHT ICE CREAM,SOFT SERVE CONE,NOT CHOC (DAIRY QUEEN)"
"233","DRDIFDCD",13130630,"LIGHT ICE CREAM,SOFT SERVE CONE, CHOC (FORMERLY ICE MILK)"
"234","DRDIFDCD",13130640,"LIGHT ICE CREAM,SOFT SERVE CONE, NS FLAV(FORMERLY ICE MILK)"
"235","DRDIFDCD",13135000,"LIGHT ICE CREAM,SANDWICH (DAIRY QUEEN) (FORMERLY ICE MILK)"
"236","DRDIFDCD",13140100,"LIGHT ICE CREAM,BAR/STICK, CHOC-COATED (FORMERLY ICE MILK)"
"237","DRDIFDCD",13140550,"LIGHT ICE CREAM,CONE, CHOCOLATE (FORMERLY ICE MILK)"
"238","DRDIFDCD",13140660,"LIGHT ICE CREAM,SUNDAE,CHOC / FUDGE TOP (W/O WHIP CREAM)"
