"","rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"1","a10061","BILE SALTS; PANCREATIN; PEPSIN",2,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,NA,87,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS","","","","","","","","","","","GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES","","GASTROINTESTINAL AGENTS","GALLSTONE SOLUBILIZING AGENTS","","","","","","","","","","","","",""
"2","a10129","CALCIUM IODIDE; CODEINE",2,122,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,60,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTITUSSIVES","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","",""
"3","a10899","ESTRADIOL; ESTRIOL; ESTRONE",2,97,101,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","MISCELLANEOUS SEX HORMONES","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","MISCELLANEOUS SEX HORMONES","","","","","","","","","","","",""
"4","a10900","ESTRADIOL; ESTRIOL",2,97,101,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","MISCELLANEOUS SEX HORMONES","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","","","","","","","","","","","","","","",""
"5","a11077","HYDROCHLOROTHIAZIDE; LABETALOL",2,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,40,47,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","NON-CARDIOSELECTIVE BETA BLOCKERS","","","","","","","","","","","",""
"6","a11122","ACETAMINOPHEN; CHLORZOXAZONE",2,57,73,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,57,73,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","SKELETAL MUSCLE RELAXANT COMBINATIONS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","SKELETAL MUSCLE RELAXANTS","","","","","","","","","","","",""
"7","a11179","IODINATED GLYCEROL; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,122,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS","","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","EXPECTORANTS","","","","","","","","","","","","",""
"8","a11273","DEXTROMETHORPHAN; IODINATED GLYCEROL",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,124,NA,122,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS","","","","","","","","","","","RESPIRATORY AGENTS","ANTITUSSIVES","","RESPIRATORY AGENTS","EXPECTORANTS","","","","","","","","","","","","",""
"9","a11284","ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE",2,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,185,115,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","NUTRITIONAL PRODUCTS","IRON PRODUCTS","","","","","","","","","",""
"10","a11457","CYANOCOBALAMIN; PYRIDOXINE; THIAMINE",2,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","","","","","",""
